,SMALL LoINV,ME1 INV2,ME1 INV3,ME1 INV4,SMALL HiINV,ME2 INV1,ME2 INV2,ME2 INV3,ME2 INV4,ME2 INV5,ME3 INV1,ME3 INV2,ME3 INV3,ME3 INV4,ME3 INV5,ME4 INV1,ME4 INV2,ME4 INV3,ME4 INV4,ME4 INV5,BIG LoINV,ME5 INV2,ME5 INV3,ME5 INV4,BIG HiINV
200606,-1.8196,-0.0543,1.4177,-1.5589,-1.1002,-0.0244,0.2539,-0.0631,0.6999,0.1812,-0.3548,-0.6977,-1.4101,0.384,-0.164,0.522,-0.7906,-1.5612,-0.9803,0.3807,0.9227,0.2797,0.0892,-0.0676,0.5922
200607,-4.3199,-2.1767,-2.6883,-3.3302,-4.6645,-3.0094,-3.6766,-1.6439,-2.7181,-6.2374,-3.366,-1.8913,-2.9595,-3.7162,-4.9138,-2.6016,-4.5659,-2.6667,-3.0032,-4.0907,0.3961,0.6394,2.1604,-1.1503,1.3618
200608,4.0733,2.8787,2.7657,2.0022,2.1423,3.8406,3.7134,3.9364,2.3901,1.7725,3.4938,2.6797,0.9239,2.1753,2.8298,4.4745,1.8561,2.1107,2.9109,0.3635,5.2454,2.5948,3.0302,-0.0242,0.9354
200609,-0.2691,0.8608,1.4186,1.1437,0.3576,1.268,0.2041,0.9501,1.6037,0.7593,2.2386,2.6408,0.718,0.6308,0.0578,1.4195,3.2214,2.4366,-0.0536,2.4209,3.5633,2.6735,1.1152,3.304,2.7267
200610,6.8199,5.6,5.0982,5.6023,5.8773,6.0606,4.6146,5.634,4.3512,6.8235,4.0946,5.6361,4.2673,4.2124,5.0441,5.2038,3.2199,3.4091,5.1867,3.0923,2.6498,3.4495,4.2343,1.7074,4.0262
200611,2.473,1.6845,2.4299,1.8726,2.0702,2.6014,2.9697,3.1132,1.4141,2.6471,2.663,4.4047,2.8099,4.52,4.493,4.2906,3.6134,2.4435,4.1614,4.7307,1.6148,-0.0258,1.8305,2.0567,3.5047
200612,1.3849,2.4434,1.9912,2.0243,1.7276,-0.5229,1.1153,1.3124,0.7614,-2.0178,2.1271,1.6029,-0.1556,0.385,-1.0999,1.1979,1.1513,0.4586,-0.0909,-0.901,2.1728,2.7447,2.206,0.382,-0.8345
200701,2.5654,0.8402,1.0654,0.4974,0.9607,3.7581,1.1359,1.7166,1.4634,0.6535,4.3627,2.1582,2.3949,3.7251,2.6872,3.8372,3.3467,2.8099,3.8931,2.5808,0.5748,2.7854,0.4944,1.5017,2.9979
200702,0.1552,-1.6596,-0.9124,-0.3501,-0.6563,0.3807,-1.2067,-0.762,-0.2608,-0.5502,0.9496,0.9288,1.6346,-0.0069,0.579,0.5471,-0.3025,0.6253,0.4093,-0.9972,-2.6166,-2.9804,-2.0148,-1.7813,-1.0864
200703,1.7151,0.6008,0.8304,0.9313,-0.4373,-0.002,0.1399,2.188,0.4723,0.5561,2.3461,2.0725,1.5178,1.4021,2.4356,2.0523,0.473,1.1062,1.9251,-0.1245,0.3232,0.3288,1.269,0.5601,3.4834
200704,2.4771,0.259,1.4685,0.2595,1.998,2.3728,1.8478,1.0493,0.876,3.3703,4.4204,4.0934,2.7461,3.5179,3.6588,3.2849,5.4616,4.6163,4.8661,2.822,5.8762,4.117,4.4726,3.6974,3.1988
200705,2.6946,2.5581,3.2898,2.9127,2.9632,3.214,2.8408,3.3242,4.3487,4.4147,4.4628,5.701,4.8542,5.06,6.1087,4.075,4.1034,3.3693,4.8065,4.7218,3.3345,2.9249,2.6932,3.1001,5.5656
200706,-0.4091,0.3114,0.3231,-0.5827,-0.8265,-2.8958,-0.8679,-0.7091,-2.4187,-1.7529,-0.4212,-0.897,-0.6291,-1.1071,-1.3645,-2.3909,-1.6086,-1.7247,-0.6817,-2.9144,-1.0594,-2.6136,-1.8027,-1.5305,-1.2041
200707,-8.3753,-6.486,-7.8022,-6.3348,-5.9972,-7.6551,-5.6274,-6.5525,-7.5475,-5.0005,-7.0274,-5.7367,-4.3745,-4.8658,-2.8825,-6.5157,-5.6785,-5.6672,-3.5993,-1.6539,-2.375,-2.6848,-1.9024,-3.8119,-2.4698
200708,-1.5123,-0.586,0.8267,2.129,-0.1795,0.8918,1.8519,3.1046,1.5946,1.9547,-2.2153,-1.0589,1.7409,1.9427,0.3603,-0.7037,0.2774,0.0153,-0.1348,0.6957,1.1123,2.0195,1.7677,0.9146,2.5538
200709,-0.352,-0.5633,-0.3162,1.6291,3.2048,-1.0612,0.9801,-0.4238,1.0705,2.887,1.9384,2.7534,-0.3511,1.5453,5.2947,2.2192,1.7384,1.1181,2.7274,4.2159,2.9115,3.2244,4.3516,3.8928,5.1893
200710,1.1903,-0.1442,-0.004,1.4195,2.0327,3.4182,0.3982,0.3328,2.7671,3.4447,2.7058,0.6792,3.4855,2.9517,3.8029,2.1621,0.9477,1.2386,2.6824,2.1404,3.7962,1.3985,1.4347,1.5227,2.3684
200711,-11.1308,-9.3151,-7.3481,-7.0451,-8.5586,-7.5717,-6.9213,-6.4076,-6.9128,-7.4742,-5.734,-6.4535,-4.519,-5.252,-7.2735,-4.7596,-5.4516,-3.6347,-5.3824,-5.8906,-3.4275,-4.2736,-2.3316,-3.8099,-5.0785
200712,-0.8718,-0.6015,-1.2602,-0.8432,-0.2315,-0.073,-0.6404,-1.0129,0.8016,0.6798,-2.0968,0.4612,-2.9356,-0.1547,-0.1572,-3.0111,-2.2554,-0.7999,0.0671,-0.2497,-0.7239,-1.5703,0.5386,-1.3133,0.1015
200801,-7.6649,-5.2824,-4.1705,-7.9441,-10.2352,-5.6299,-4.2741,-5.2822,-5.9286,-9.6182,-4.4166,-6.5986,-3.8037,-5.5324,-8.2091,-4.5964,-5.803,-5.5622,-5.1241,-7.594,-4.8555,-6.6358,-6.6978,-3.4305,-7.4356
200802,-4.6973,-3.9152,-4.476,-3.3983,-4.6145,-2.5569,-5.0272,-2.6375,-2.639,-2.848,-1.9052,-3.0087,-2.75,-1.7752,-1.081,-5.3929,-2.6907,-3.3821,-1.7682,1.3842,-3.0613,-3.9868,-0.2606,-4.634,-3.5234
200803,-0.6216,0.9244,1.8975,0.2025,-4.6814,1.5074,3.3449,1.2339,0.9733,-0.6689,-1.3198,-1.7094,-1.5862,-0.6896,-0.3289,-1.0116,-2.2918,-0.6938,-1.6391,-2.2235,-0.4454,-0.5004,-0.7028,-1.1457,-0.0499
200804,1.2295,-0.0608,1.506,1.9224,3.4812,2.8923,1.1132,3.3406,3.5437,3.5018,8.235,5.8855,9.1959,8.5627,7.8091,5.2962,4.5021,4.8138,5.2919,7.7519,1.4277,1.4515,5.4428,6.1253,6.2276
200805,4.5374,2.5432,2.4796,3.5307,4.1818,5.2646,4.2376,5.8517,5.2716,6.2923,4.8677,5.3267,2.863,4.9332,6.482,3.4217,5.2758,4.7942,3.5517,5.3423,2.6024,0.5668,1.6862,-1.0395,2.2352
200806,-8.5377,-10.1201,-10.803,-9.5056,-6.3805,-8.4213,-10.1246,-10.731,-5.6333,-5.9348,-7.2817,-8.6733,-9.9472,-7.0184,-4.4231,-11.1736,-7.8348,-11.1869,-6.3792,-6.424,-7.4637,-8.9687,-5.8715,-9.8833,-9.4181
200807,3.7533,5.6702,9.6674,5.0067,2.6782,6.4407,5.0106,6.64,4.1312,1.8215,1.9569,3.1467,1.4113,0.5507,-0.2191,-1.4092,-2.1503,1.292,-1.8427,-5.8196,-4.4202,1.5127,-1.6723,0.403,-3.2251
200808,2.5186,4.3566,4.3557,7.717,1.3814,3.9413,6.437,4.0012,8.3829,4.5397,5.4073,2.8023,2.07,3.5349,3.608,1.0349,2.9549,3.4356,2.7504,1.0048,3.6914,2.1423,1.2914,0.7389,-0.1096
200809,-9.0447,-4.7476,-5.6618,-7.5022,-11.6,-8.9102,-4.8837,-3.6288,-7.7436,-9.2781,-8.1125,-6.8576,-7.358,-13.9006,-11.7604,-12.8883,-12.6132,-9.7139,-12.2381,-14.7807,-9.7085,-7.9416,-7.4015,-6.7268,-14.2986
